|        a         | b | c |       out        |
| 1111111111111111 | 0 | 0 | 0000000000000000 |
| 1111111111111111 | 0 | 1 | 0000000000000000 |
| 1111111111111111 | 1 | 0 | 0000000000000000 |
| 1111111111111111 | 1 | 1 | 1111111111111111 |
| 1010101010101010 | 0 | 0 | 0000000000000000 |
| 1010101010101010 | 0 | 1 | 0000000000000000 |
| 1010101010101010 | 1 | 0 | 0000000000000000 |
| 1010101010101010 | 1 | 1 | 1010101010101010 |
| 0011110011000011 | 0 | 0 | 0000000000000000 |
| 0011110011000011 | 0 | 1 | 0000000000000000 |
| 0011110011000011 | 1 | 0 | 0000000000000000 |
| 0011110011000011 | 1 | 1 | 0011110011000011 |
| 0001001000110100 | 0 | 0 | 0000000000000000 |
| 0001001000110100 | 0 | 1 | 0000000000000000 |
| 0001001000110100 | 1 | 0 | 0000000000000000 |
| 0001001000110100 | 1 | 1 | 0001001000110100 |
